INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,C150_4,REGION
University of Mount Union,Alliance,OH,44601-3929,40.905256,-81.111029,0.6487,3
Mount Vernon Nazarene University,Mount Vernon,OH,43050-9500,40.372901,-82.471074,0.6364,3
Mount St. Joseph University,Cincinnati,OH,45233-1670,39.095893,-84.639453,0.5471,3
Zane State College,Zanesville,OH,43701-2626,39.96241,-82.031198,0.5297,3
Muskingum University,New Concord,OH,43762-1837,39.996585,-81.737127,0.5273,3
North Central State College,Mansfield,OH,44906-0698,40.798777,-82.581582,0.3418,3
Notre Dame College,Cleveland,OH,44121-4293,41.506894,-81.516617,0.3663,3
University of Northwestern Ohio,Lima,OH,45805,40.762917,-84.157004,0.5415,3
Oberlin College,Oberlin,OH,44074,41.291992,-82.216795,0.7948,3
Ohio Dominican University,Columbus,OH,43219,39.992764,-82.940689,0.479,3
Ohio Northern University,Ada,OH,45810-1599,40.7662,-83.827441,0.7418,3
Ohio State University-Lima Campus,Lima,OH,45804,40.738521,-84.02384,0.181,3
Ohio State University-Mansfield Campus,Mansfield,OH,44906,40.796536,-82.580194,0.1406,3
Ohio State University-Marion Campus,Marion,OH,43302-5695,40.577779,-83.090597,0.2566,3
Ohio State University-Newark Campus,Newark,OH,43055,40.069314,-82.447441,0.3088,3
Ohio State University-Main Campus,Columbus,OH,43201,39.999803,-83.007525,0.8773,3
Ohio University-Eastern Campus,Saint Clairsville,OH,43950,40.073392,-80.976073,0.2,3
Ohio University-Chillicothe Campus,Chillicothe,OH,45601-0629,39.329404,-83.002175,0.1213,3
Ohio University-Southern Campus,Ironton,OH,45638,38.524781,-82.666876,0.1929,3
Ohio University-Lancaster Campus,Lancaster,OH,43130-1037,39.738752,-82.586069,0.1371,3
Ohio University-Main Campus,Athens,OH,45701-2979,39.326798,-82.100985,0.6644,3
Ohio University-Zanesville Campus,Zanesville,OH,43701,39.96098,-82.031063,0.177,3
Ohio Wesleyan University,Delaware,OH,43015-2370,40.295963,-83.069757,0.6174,3
Otterbein University,Westerville,OH,43081,40.125327,-82.936444,0.6895,3
Pontifical College Josephinum,Columbus,OH,43235-1499,40.120735,-83.018829,0.2727,3
Professional Skills Institute,Maumee,OH,43537,41.584008,-83.672408,0.6739,3
Rabbinical College Telshe,Wickliffe,OH,44092,41.593533,-81.485261,0.5333,3
University of Rio Grande,Rio Grande,OH,45674,38.881764,-82.378852,0.3216,3
The Modern College of Design,Kettering,OH,45440,39.681305,-84.134269,0.6195,3
Shawnee State University,Portsmouth,OH,45662,38.730867,-82.993769,0.4298,3
Sinclair Community College,Dayton,OH,45402-1460,39.757598,-84.200628,0.3186,3
Franciscan University of Steubenville,Steubenville,OH,43952-1763,40.376919,-80.620524,0.7709,3
Tiffin University,Tiffin,OH,44883,41.118316,-83.184197,0.4295,3
University of Toledo,Toledo,OH,43606-3390,41.660572,-83.614714,0.5563,3
Ursuline College,Pepper Pike,OH,44124,41.497035,-81.465118,0.5325,3
Walsh University,North Canton,OH,44720-3396,40.873908,-81.369931,0.6169,3
Washington State Community College,Marietta,OH,45750,39.430824,-81.43392,0.3211,3
Wilberforce University,Wilberforce,OH,45384-1001,39.707291,-83.880595,0.1597,3
Wilmington College,Wilmington,OH,45177,39.444744,-83.818342,0.5508,3
Wittenberg University,Springfield,OH,45504,39.934029,-83.815445,0.5382,3
The College of Wooster,Wooster,OH,44691,40.81046,-81.934674,0.7356,3
