INSTNM,CITY,STABBR,TUITIONFEE_IN,TUITIONFEE_OUT,GraduationRate
Methodist College,Peoria,IL,18008.0,18008.0,0.75
Millikin University,Decatur,IL,26892.0,43670.0,0.5907
Monmouth College,Monmouth,IL,43520.0,43520.0,0.6014
Moody Bible Institute,Chicago,IL,15356.0,15356.0,0.6199
National Louis University,Chicago,IL,12345.0,12345.0,0.3687
North Central College,Naperville,IL,44394.0,44394.0,0.7114
North Park University,Chicago,IL,35325.0,35325.0,0.5596
Northern Illinois University,Dekalb,IL,12700.0,12700.0,0.4965
Northwestern University,Evanston,IL,65997.0,65997.0,0.9589
Northeastern Illinois University,Chicago,IL,12383.0,22726.0,0.1679
Olivet Nazarene University,Bourbonnais,IL,37940.0,37940.0,0.6027
Principia College,Elsah,IL,33280.0,33280.0,0.7619
Quincy University,Quincy,IL,35740.0,35740.0,0.4274
Rockford University,Rockford,IL,37300.0,37300.0,0.3826
Roosevelt University,Chicago,IL,20280.0,20280.0,0.4099
Dominican University,River Forest,IL,37844.0,37844.0,0.6236
University of St Francis,Joliet,IL,37000.0,37000.0,0.6463
Saint Xavier University,Chicago,IL,36840.0,36840.0,0.59
University of Illinois Springfield,Springfield,IL,12252.0,22017.0,0.6137
St. Augustine College,Chicago,IL,13288.0,13288.0,0.2775
Southern Illinois University-Carbondale,Carbondale,IL,13244.0,13244.0,0.563
Southern Illinois University-Edwardsville,Edwardsville,IL,12922.0,12922.0,0.5497
Telshe Yeshiva-Chicago,Chicago,IL,15000.0,15000.0,0.0769
Trinity Christian College,Palos Heights,IL,20325.0,20325.0,0.6387
Trinity International University-Illinois,Deerfield,IL,12320.0,12320.0,0.4565
VanderCook College of Music,Chicago,IL,30910.0,30910.0,0.4667
Western Illinois University,Macomb,IL,14952.0,14952.0,0.4477
Wheaton College,Wheaton,IL,43930.0,43930.0,0.8655
Anderson University,Anderson,IN,35640.0,35640.0,0.4942
Ball State University,Muncie,IN,10758.0,28766.0,0.6327
Bethel University,Mishawaka,IN,33320.0,33320.0,0.5721
Butler University,Indianapolis,IN,45980.0,45980.0,0.8015
Calumet College of Saint Joseph,Whiting,IN,22650.0,22650.0,0.299
DePauw University,Greencastle,IN,57070.0,57070.0,0.8
Earlham College,Richmond,IN,51840.0,51840.0,0.6794
University of Evansville,Evansville,IN,42676.0,42676.0,0.7127
Franklin College,Franklin,IN,37350.0,37350.0,0.634
Goshen College,Goshen,IN,37760.0,37760.0,0.6047
Grace College and Theological Seminary,Winona Lake,IN,30034.0,30034.0,0.6991
Hanover College,Hanover,IN,42894.0,42894.0,0.6356
Holy Cross College,Notre Dame,IN,35500.0,35500.0,0.2947
Huntington University,Huntington,IN,29982.0,29982.0,0.682
Purdue University Fort Wayne,Fort Wayne,IN,9254.0,22220.0,0.3247
Indiana University-Indianapolis,Indianapolis,IN,10449.0,33717.0,0.5387
University of Indianapolis,Indianapolis,IN,36136.0,36136.0,0.5581
Indiana Institute of Technology,Fort Wayne,IN,30446.0,30446.0,0.3139
University of Southern Indiana,Evansville,IN,10136.0,22573.0,0.5195
Indiana State University,Terre Haute,IN,9992.0,21734.0,0.4107
Indiana University-Kokomo,Kokomo,IN,8179.0,22043.0,0.4475
Indiana University-South Bend,South Bend,IN,8179.0,22043.0,0.3574
Indiana University-Bloomington,Bloomington,IN,11790.0,40482.0,0.8117
Indiana University-Northwest,Gary,IN,8179.0,22043.0,0.3685
Indiana University-Southeast,New Albany,IN,8179.0,22043.0,0.3341
Indiana University-East,Richmond,IN,8179.0,22043.0,0.4536
Manchester University,North Manchester,IN,37090.0,37090.0,0.4484
Marian University,Indianapolis,IN,39100.0,39100.0,0.6095
Indiana Wesleyan University-Marion,Marion,IN,31168.0,31168.0,0.6633
Martin University,Indianapolis,IN,12830.0,12830.0,0.3333
Mid-America College of Funeral Service,Jeffersonville,IN,19800.0,19800.0,0.5574
University of Notre Dame,Notre Dame,IN,62693.0,62693.0,0.9683
Oakland City University,Oakland City,IN,27150.0,27150.0,0.7
Rose-Hulman Institute of Technology,Terre Haute,IN,56674.0,56674.0,0.8169
University of Saint Francis-Fort Wayne,Fort Wayne,IN,35420.0,35420.0,0.6067
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,33490.0,33490.0,0.5227
Saint Mary's College,Notre Dame,IN,51430.0,51430.0,0.7652
Taylor University,Upland,IN,39104.0,39104.0,0.7656
Trine University,Angola,IN,35600.0,35600.0,0.6761
Valparaiso University,Valparaiso,IN,46588.0,46588.0,0.6704
Vincennes University,Vincennes,IN,6886.0,16289.0,0.3473
Wabash College,Crawfordsville,IN,49125.0,49125.0,0.7706
Briar Cliff University,Sioux City,IA,35534.0,35534.0,0.4937
Buena Vista University,Storm Lake,IA,40190.0,40190.0,0.4729
Central College,Pella,IA,20988.0,20988.0,0.6916
Clarke University,Dubuque,IA,39600.0,39600.0,0.5494
Coe College,Cedar Rapids,IA,52576.0,52576.0,0.59
Cornell College,Mount Vernon,IA,50634.0,50634.0,0.7167
Divine Word College,Epworth,IA,15000.0,15000.0,1.0
Dordt University,Sioux Center,IA,35960.0,35960.0,0.6533
Drake University,Des Moines,IA,49944.0,49944.0,0.7731
University of Dubuque,Dubuque,IA,40065.0,40065.0,0.4105
Emmaus Bible College,Dubuque,IA,20000.0,20000.0,0.8167
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,19530.0,19530.0,0.6105
Graceland University-Lamoni,Lamoni,IA,33220.0,33220.0,0.3834
Grand View University,Des Moines,IA,33450.0,33450.0,0.5579
Grinnell College,Grinnell,IA,64862.0,64862.0,0.8747
Orion Technical College,Davenport,IA,15600.0,15600.0,0.8049
Iowa State University,Ames,IA,10497.0,27683.0,0.7547
University of Iowa,Iowa City,IA,10964.0,32927.0,0.7306
Loras College,Dubuque,IA,38298.0,38298.0,0.6985
Luther College,Decorah,IA,50320.0,50320.0,0.75
Maharishi International University,Fairfield,IA,16530.0,16530.0,0.1765
Mercy College of Health Sciences,Des Moines,IA,17328.0,17328.0,0.4857
Morningside University,Sioux City,IA,38190.0,38190.0,0.5284
Mount Mercy University,Cedar Rapids,IA,39070.0,39070.0,0.5588
Ashford University,San Diego,CA,13160.0,13160.0,0.0877
University of Northern Iowa,Cedar Falls,IA,9728.0,21272.0,0.6894
Northwestern College,Orange City,IA,35300.0,35300.0,0.6357
Saint Ambrose University,Davenport,IA,35598.0,35598.0,0.6285
St Luke's College,Sioux City,IA,20940.0,20940.0,0.3333
Simpson College,Indianola,IA,46212.0,46212.0,0.6566
Upper Iowa University,Fayette,IA,19000.0,19000.0,0.4147
Waldorf University,Forest City,IA,25220.0,25220.0,0.2897
Wartburg College,Waverly,IA,51040.0,51040.0,0.6682
William Penn University,Oskaloosa,IA,28750.0,28750.0,0.2924
Baker University,Baldwin City,KS,33900.0,33900.0,0.5938
Benedictine College,Atchison,KS,34800.0,34800.0,0.6507
Bethany College,Lindsborg,KS,31946.0,31946.0,0.2867
Bethel College-North Newton,North Newton,KS,34002.0,34002.0,0.4309
Central Christian College of Kansas,McPherson,KS,21000.0,21000.0,0.2303
Donnelly College,Kansas City,KS,10350.0,10350.0,0.38
Emporia State University,Emporia,KS,7356.0,15669.0,0.543
Fort Hays State University,Hays,KS,5633.0,16811.0,0.4785
Barclay College,Haviland,KS,26590.0,26590.0,0.5517
Friends University,Wichita,KS,32748.0,32748.0,0.6149
Haskell Indian Nations University,Lawrence,KS,600.0,600.0,0.4259
Hesston College,Hesston,KS,31368.0,31368.0,0.5741
Kansas Christian College,Overland Park,KS,10950.0,10950.0,0.2857
University of Kansas,Lawrence,KS,11700.0,29412.0,0.6879
Newman University,Wichita,KS,35500.0,35500.0,0.5377
Kansas State University,Manhattan,KS,10942.0,27816.0,0.7047
Kansas Wesleyan University,Salina,KS,33470.0,33470.0,0.3846
Manhattan Christian College,Manhattan,KS,18424.0,18424.0,0.5479
McPherson College,McPherson,KS,35162.0,35162.0,0.52
MidAmerica Nazarene University,Olathe,KS,36120.0,36120.0,0.4615
Ottawa University-Ottawa,Ottawa,KS,35300.0,35300.0,0.2872
Pittsburg State University,Pittsburg,KS,8008.0,19692.0,0.5758
University of Saint Mary,Leavenworth,KS,33890.0,33890.0,0.4406
Southwestern College,Winfield,KS,38480.0,38480.0,0.3351
Sterling College,Sterling,KS,32200.0,32200.0,0.2903
Tabor College,Hillsboro,KS,35050.0,35050.0,0.3289
Washburn University,Topeka,KS,9578.0,20582.0,0.5263
Wichita State University,Wichita,KS,9322.0,19240.0,0.5143
Alice Lloyd College,Pippa Passes,KY,14080.0,14080.0,0.2636
Asbury University,Wilmore,KY,33640.0,33640.0,0.65
Bellarmine University,Louisville,KY,47180.0,47180.0,0.6775
Berea College,Berea,KY,49326.0,49326.0,0.6204
Brescia University,Owensboro,KY,30450.0,30450.0,0.4597
Campbellsville University,Campbellsville,KY,26990.0,26990.0,0.4713
Centre College,Danville,KY,50550.0,50550.0,0.8529
Clear Creek Baptist Bible College,Pineville,KY,10120.0,10120.0,0.3333
University of the Cumberlands,Williamsburg,KY,9875.0,9875.0,0.4624
Eastern Kentucky University,Richmond,KY,10130.0,20820.0,0.4974
Georgetown College,Georgetown,KY,42010.0,42010.0,0.4754
American National University-Pikeville,Pikeville,KY,11484.0,11484.0,0.5
Kentucky Mountain Bible College,Jackson,KY,10060.0,10060.0,0.3571
Kentucky State University,Frankfort,KY,9214.0,13260.0,0.2714
Kentucky Wesleyan College,Owensboro,KY,33393.0,33393.0,0.526
University of Kentucky,Lexington,KY,13212.0,33406.0,0.6993
Kentucky Christian University,Grayson,KY,25000.0,25000.0,0.3377
Lindsey Wilson College,Columbia,KY,27274.0,27274.0,0.3808
University of Louisville,Louisville,KY,12828.0,29174.0,0.6068
Midway University,Midway,KY,26080.0,26080.0,0.4638
Morehead State University,Morehead,KY,9838.0,14706.0,0.4769
Murray State University,Murray,KY,9708.0,19452.0,0.5953
Northern Kentucky University,Highland Heights,KY,10896.0,21480.0,0.4828
University of Pikeville,Pikeville,KY,24150.0,24150.0,0.3907
The Southern Baptist Theological Seminary,Louisville,KY,13086.0,13086.0,0.4386
Spalding University,Louisville,KY,27850.0,27850.0,0.5732
Sullivan University,Louisville,KY,14220.0,14220.0,0.3018
Thomas More University,Crestview Hills,KY,38400.0,38400.0,0.4011
Transylvania University,Lexington,KY,44980.0,44980.0,0.6975
Union College,Barbourville,KY,30946.0,30946.0,0.3603
Western Kentucky University,Bowling Green,KY,11436.0,27000.0,0.5367
Centenary College of Louisiana,Shreveport,LA,40000.0,40000.0,0.593
Dillard University,New Orleans,LA,22194.0,22194.0,0.451
Grambling State University,Grambling,LA,7683.0,16706.0,0.3234
Louisiana State University-Alexandria,Alexandria,LA,7050.0,14650.0,0.3552
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,11954.0,28631.0,0.7096
Louisiana State University-Shreveport,Shreveport,LA,7327.0,20481.0,0.3321
Louisiana Christian University,Pineville,LA,19740.0,19740.0,0.4128
Louisiana Tech University,Ruston,LA,10125.0,16866.0,0.5762
Loyola University New Orleans,New Orleans,LA,47240.0,47240.0,0.6742
McNeese State University,Lake Charles,LA,8460.0,9960.0,0.5201
University of New Orleans,New Orleans,LA,9172.0,14008.0,0.4251
New Orleans Baptist Theological Seminary,New Orleans,LA,11540.0,11540.0,0.4074
Nicholls State University,Thibodaux,LA,8173.0,9266.0,0.5429
University of Louisiana at Monroe,Monroe,LA,9190.0,21290.0,0.506
Northwestern State University of Louisiana,Natchitoches,LA,8864.0,19652.0,0.4463
University of Holy Cross,New Orleans,LA,16160.0,16160.0,0.3582
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,15690.0,15690.0,0.5132
Saint Joseph Seminary College,St. Benedict,LA,26770.0,26770.0,0.4
Southeastern Louisiana University,Hammond,LA,8373.0,20851.0,0.448
Southern University and A & M College,Baton Rouge,LA,9940.0,17198.0,0.2845
Southern University at New Orleans,New Orleans,LA,7490.0,16390.0,0.1786
University of Louisiana at Lafayette,Lafayette,LA,10418.0,24146.0,0.52
Tulane University of Louisiana,New Orleans,LA,65538.0,65538.0,0.8891
Xavier University of Louisiana,New Orleans,LA,27868.0,27868.0,0.5021
College of the Atlantic,Bar Harbor,ME,46179.0,46179.0,0.6923
Bates College,Lewiston,ME,63478.0,63478.0,0.9059
Bowdoin College,Brunswick,ME,64910.0,64910.0,0.956
Maine College of Health Professions,Lewiston,ME,17827.0,17827.0,0.8333
Colby College,Waterville,ME,66600.0,66600.0,0.9022
University of Maine at Augusta,Augusta,ME,8618.0,21548.0,0.2328
University of Maine at Farmington,Farmington,ME,10989.0,23079.0,0.5275
University of Maine at Fort Kent,Fort Kent,ME,9045.0,14325.0,0.3984
University of Maine,Orono,ME,12606.0,35346.0,0.5643
Maine Maritime Academy,Castine,ME,14746.0,30226.0,0.6141
University of Maine at Presque Isle,Presque Isle,ME,8990.0,14270.0,0.3766
University of New England,Biddeford,ME,42550.0,42550.0,0.6083
Maine College of Art & Design,Portland,ME,41398.0,41398.0,0.4874
Saint Joseph's College of Maine,Standish,ME,42834.0,42834.0,0.6855
University of Southern Maine,Portland,ME,10920.0,27104.0,0.4634
Thomas College,Waterville,ME,30896.0,30896.0,0.5136
Unity Environmental University,New Gloucester,ME,12640.0,12640.0,0.5698
University of Baltimore,Baltimore,MD,9772.0,23490.0,0.4673
Bowie State University,Bowie,MD,8999.0,19889.0,0.3814
Capitol Technology University,Laurel,MD,27318.0,27318.0,0.4667
Washington Adventist University,Takoma Park,MD,25200.0,25200.0,0.4
Coppin State University,Baltimore,MD,7001.0,13789.0,0.2559
Frostburg State University,Frostburg,MD,9998.0,25180.0,0.5207
Goucher College,Baltimore,MD,51250.0,51250.0,0.6
Hood College,Frederick,MD,45870.0,45870.0,0.5529
Johns Hopkins University,Baltimore,MD,63340.0,63340.0,0.9463
Loyola University Maryland,Baltimore,MD,55480.0,55480.0,0.8049
University of Maryland Global Campus,Adelphi,MD,7992.0,12336.0,0.2958
University of Maryland-Baltimore County,Baltimore,MD,12952.0,30308.0,0.7055
University of Maryland-College Park,College Park,MD,11505.0,40306.0,0.8862
Maryland Institute College of Art,Baltimore,MD,55150.0,55150.0,0.7133
University of Maryland Eastern Shore,Princess Anne,MD,8898.0,19728.0,0.3464
Morgan State University,Baltimore,MD,8118.0,18800.0,0.4161
Mount St. Mary's University,Emmitsburg,MD,47240.0,47240.0,0.5802
Ner Israel Rabbinical College,Baltimore,MD,14400.0,14400.0,0.439
Notre Dame of Maryland University,Baltimore,MD,41910.0,41910.0,0.5195
Salisbury University,Salisbury,MD,10638.0,21332.0,0.6745
St. Mary's College of Maryland,St. Mary's City,MD,15236.0,31312.0,0.6804
St. John's College,Annapolis,MD,39126.0,39126.0,0.6741
Towson University,Towson,MD,11306.0,28326.0,0.6762
Stevenson University,Owings Mills,MD,39708.0,39708.0,0.6642
Washington College,Chestertown,MD,54356.0,54356.0,0.7411
McDaniel College,Westminster,MD,49647.0,49647.0,0.6376
Hult International Business School,Cambridge,MA,54890.0,54890.0,0.6582
American International College,Springfield,MA,42970.0,42970.0,0.4228
Amherst College,Amherst,MA,67280.0,67280.0,0.9342
Anna Maria College,Paxton,MA,43064.0,43064.0,0.4044
Assumption University,Worcester,MA,49414.0,49414.0,0.7459
Babson College,Wellesley,MA,56032.0,56032.0,0.9236
Boston Baptist College,Boston,MA,14304.0,14304.0,0.4444
Bay Path University,Longmeadow,MA,37227.0,37227.0,0.5694
Bentley University,Waltham,MA,58150.0,58150.0,0.8821
Berklee College of Music,Boston,MA,50270.0,50270.0,0.6635
Boston Architectural College,Boston,MA,26800.0,26800.0,0.3846
Boston College,Chestnut Hill,MA,67680.0,67680.0,0.9099
Boston University,Boston,MA,65168.0,65168.0,0.8997
Brandeis University,Waltham,MA,64946.0,64946.0,0.8611
Bridgewater State University,Bridgewater,MA,11389.0,17529.0,0.5461
Cambridge College,Boston,MA,18072.0,18072.0,0.125
Clark University,Worcester,MA,55160.0,55160.0,0.7712
Curry College,Milton,MA,46220.0,46220.0,0.4825
Dean College,Franklin,MA,44960.0,44960.0,0.4317
Eastern Nazarene College,Quincy,MA,28610.0,28610.0,0.3529
Emerson College,Boston,MA,55392.0,55392.0,0.7927
Emmanuel College,Boston,MA,46686.0,46686.0,0.6582
Endicott College,Beverly,MA,39212.0,39212.0,0.7543
Fisher College,Boston,MA,35013.0,35013.0,0.2844
Fitchburg State University,Fitchburg,MA,11046.0,17126.0,0.5273
Framingham State University,Framingham,MA,11630.0,17710.0,0.4954
Benjamin Franklin Cummings Institute of Technology,Boston,MA,18906.0,18906.0,0.4716
Gordon College,Wenham,MA,28100.0,28100.0,0.6763
Hampshire College,Amherst,MA,56630.0,56630.0,0.5723
Harvard University,Cambridge,MA,59076.0,59076.0,0.9733
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,22490.0,22490.0,0.4444
College of the Holy Cross,Worcester,MA,60850.0,60850.0,0.8961
Lasell University,Newton,MA,26000.0,26000.0,0.5317
Lesley University,Cambridge,MA,32780.0,32780.0,0.6174
Longy School of Music of Bard College,Cambridge,MA,52950.0,52950.0,0.4444
University of Massachusetts-Lowell,Lowell,MA,16570.0,35396.0,0.701
University of Massachusetts-Amherst,Amherst,MA,17357.0,39293.0,0.8316
University of Massachusetts-Boston,Boston,MA,15496.0,37174.0,0.5115
MCPHS University,Boston,MA,38850.0,38850.0,0.6332
Massachusetts College of Art and Design,Boston,MA,14960.0,42180.0,0.6919
Massachusetts Institute of Technology,Cambridge,MA,60156.0,60156.0,0.9608
Massachusetts Maritime Academy,Buzzards Bay,MA,10816.0,23910.0,0.7912
Merrimack College,North Andover,MA,51786.0,51786.0,0.7213
Montserrat College of Art,Beverly,MA,39000.0,39000.0,0.6154
Mount Holyoke College,South Hadley,MA,64142.0,64142.0,0.8504
The New England Conservatory of Music,Boston,MA,58550.0,58550.0,0.7778
Nichols College,Dudley,MA,40375.0,40375.0,0.6364
Massachusetts College of Liberal Arts,North Adams,MA,11884.0,20559.0,0.4913
Northeastern University,Boston,MA,63141.0,63141.0,0.9038
College of Our Lady of the Elms,Chicopee,MA,42061.0,42061.0,0.6474
Quincy College,Quincy,MA,7536.0,7536.0,0.1663
Regis College,Weston,MA,47770.0,47770.0,0.6949
Salem State University,Salem,MA,11978.0,18961.0,0.5499
Simmons University,Boston,MA,45538.0,45538.0,0.7125
Bard College at Simon's Rock,Great Barrington,MA,66594.0,66594.0,0.5417
Smith College,Northampton,MA,61568.0,61568.0,0.8966
Springfield College,Springfield,MA,43707.0,43707.0,0.6763
University of Massachusetts-Dartmouth,North Dartmouth,MA,15208.0,31750.0,0.4897
Stonehill College,Easton,MA,54500.0,54500.0,0.8081
Suffolk University,Boston,MA,45380.0,45380.0,0.5985
Tufts University,Medford,MA,67844.0,67844.0,0.9333
Wellesley College,Wellesley,MA,64320.0,64320.0,0.9121
Wentworth Institute of Technology,Boston,MA,41010.0,41010.0,0.6863
Western New England University,Springfield,MA,46430.0,46430.0,0.6389
Westfield State University,Westfield,MA,11882.0,17962.0,0.5486
Wheaton College (Massachusetts),Norton,MA,62080.0,62080.0,0.757
Williams College,Williamstown,MA,64860.0,64860.0,0.9655
Worcester Polytechnic Institute,Worcester,MA,59070.0,59070.0,0.8843
Worcester State University,Worcester,MA,11286.0,17366.0,0.5551
Adrian College,Adrian,MI,40556.0,40556.0,0.5595
Albion College,Albion,MI,55746.0,55746.0,0.5709
Alma College,Alma,MI,47430.0,47430.0,0.6373
Alpena Community College,Alpena,MI,5130.0,7800.0,0.502
Andrews University,Berrien Springs,MI,33710.0,33710.0,0.6593
Aquinas College,Grand Rapids,MI,38520.0,38520.0,0.625
Baker College,Owosso,MI,12810.0,12810.0,0.3133
Calvin University,Grand Rapids,MI,38670.0,38670.0,0.7736
Central Michigan University,Mount Pleasant,MI,14190.0,14190.0,0.6184
Cleary University,Howell,MI,24842.0,24842.0,0.3939
Concordia University Ann Arbor,Ann Arbor,MI,34200.0,34200.0,0.5
College for Creative Studies,Detroit,MI,51355.0,51355.0,0.6962
Davenport University,Grand Rapids,MI,23324.0,23324.0,0.4952
University of Detroit Mercy,Detroit,MI,32300.0,32300.0,0.681
Eastern Michigan University,Ypsilanti,MI,15510.0,15510.0,0.4549
Ferris State University,Big Rapids,MI,13630.0,13630.0,0.4787
Kettering University,Flint,MI,46380.0,46380.0,0.7054
Grace Christian University,Wyoming,MI,14992.0,14992.0,0.4286
Cornerstone University,Grand Rapids,MI,29100.0,29100.0,0.6157
Grand Valley State University,Allendale,MI,14628.0,20820.0,0.6865
Great Lakes Christian College,Lansing,MI,19990.0,19990.0,0.2593
Henry Ford College,Dearborn,MI,3460.0,7040.0,0.1063
Hillsdale College,Hillsdale,MI,32092.0,32092.0,0.8482
Hope College,Holland,MI,40420.0,40420.0,0.8226
Jackson College,Jackson,MI,7040.0,9795.0,0.1738
Kalamazoo College,Kalamazoo,MI,58764.0,58764.0,0.817
Lake Superior State University,Sault Ste Marie,MI,14266.0,14266.0,0.5694
Lawrence Technological University,Southfield,MI,41872.0,41872.0,0.6257
Madonna University,Livonia,MI,27360.0,27360.0,0.5815
Rochester University,Rochester Hills,MI,27938.0,27938.0,0.414
University of Michigan-Ann Arbor,Ann Arbor,MI,17228.0,58072.0,0.9322
Michigan State University,East Lansing,MI,15988.0,43372.0,0.8217
Michigan Technological University,Houghton,MI,18392.0,41340.0,0.6872
University of Michigan-Dearborn,Dearborn,MI,14944.0,31360.0,0.5655
University of Michigan-Flint,Flint,MI,14014.0,31274.0,0.4456
Northern Michigan University,Marquette,MI,13304.0,18800.0,0.5084
Northwestern Michigan College,Traverse City,MI,5350.0,12762.0,0.2489
Northwood University,Midland,MI,33000.0,33000.0,0.6107
Oakland University,Rochester Hills,MI,14694.0,23188.0,0.5694
The University of Olivet,Olivet,MI,33076.0,33076.0,0.3704
Kuyper College,Grand Rapids,MI,26390.0,26390.0,0.5357
Sacred Heart Major Seminary,Detroit,MI,25560.0,25560.0,0.6667
Saginaw Valley State University,University Center,MI,12240.0,28752.0,0.5382
Schoolcraft Community College District,Livonia,MI,4448.0,7906.0,0.153
Siena Heights University,Adrian,MI,29778.0,29778.0,0.5111
Spring Arbor University,Spring Arbor,MI,32580.0,32580.0,0.5985
Wayne State University,Detroit,MI,14297.0,30419.0,0.5651
Western Michigan University,Kalamazoo,MI,15298.0,19098.0,0.5777
Academy College,Bloomington,MN,18252.0,18252.0,1.0
Augsburg University,Minneapolis,MN,43942.0,43942.0,0.5244
Bemidji State University,Bemidji,MN,10164.0,10164.0,0.534
Bethany Lutheran College,Mankato,MN,30010.0,30010.0,0.5956
Bethel University,Saint Paul,MN,42930.0,42930.0,0.7522
Carleton College,Northfield,MN,65457.0,65457.0,0.9119
Concordia College at Moorhead,Moorhead,MN,30020.0,30020.0,0.7183
Concordia University-Saint Paul,Saint Paul,MN,25000.0,25000.0,0.5878
Martin Luther College,New Ulm,MN,17770.0,17770.0,0.7143
Gustavus Adolphus College,Saint Peter,MN,54310.0,54310.0,0.7585
Hamline University,Saint Paul,MN,48311.0,48311.0,0.5771
Macalester College,Saint Paul,MN,64908.0,64908.0,0.9041
Minnesota State University-Mankato,Mankato,MN,9490.0,18860.0,0.5411
Metropolitan State University,Saint Paul,MN,9780.0,9780.0,0.3837
University of Minnesota-Twin Cities,Minneapolis,MN,16488.0,36402.0,0.8482
University of Minnesota-Crookston,Crookston,MN,13120.0,13120.0,0.4973
Minneapolis College of Art and Design,Minneapolis,MN,43824.0,43824.0,0.6917
Herzing University-Minneapolis,St. Louis Park,MN,13420.0,13420.0,0.7353
University of Minnesota-Duluth,Duluth,MN,14318.0,19762.0,0.6445
University of Minnesota-Morris,Morris,MN,14288.0,16438.0,0.6193
Minnesota State University Moorhead,Moorhead,MN,10336.0,10336.0,0.5464
North Central University,Minneapolis,MN,29460.0,29460.0,0.6359
University of Northwestern-St Paul,Saint Paul,MN,36830.0,36830.0,0.6837
Northwestern Health Sciences University,Bloomington,MN,12015.0,12015.0,1.0
Oak Hills Christian College,Bemidji,MN,18910.0,18910.0,0.3077
College of Saint Benedict,Saint Joseph,MN,53884.0,53884.0,0.8304
Saint Cloud State University,Saint Cloud,MN,10117.0,10117.0,0.4691
Saint Johns University,Collegeville,MN,53942.0,53942.0,0.757
Saint Mary's University of Minnesota,Winona,MN,43160.0,43160.0,0.6767
St Olaf College,Northfield,MN,56970.0,56970.0,0.835
Crown College,Saint Bonifacius,MN,30200.0,30200.0,0.6434
The College of Saint Scholastica,Duluth,MN,40454.0,40454.0,0.6299
University of St Thomas,Saint Paul,MN,52284.0,52284.0,0.7517
St Catherine University,Saint Paul,MN,49758.0,49758.0,0.6513
Rasmussen University-Minnesota,St. Cloud,MN,10899.0,10899.0,0.5322
Southwest Minnesota State University,Marshall,MN,10304.0,10304.0,0.4407
Dunwoody College of Technology,Minneapolis,MN,25659.0,25659.0,0.627
Winona State University,Winona,MN,10498.0,17230.0,0.6089
Alcorn State University,Alcorn State,MS,8549.0,8549.0,0.4615
Belhaven University,Jackson,MS,29195.0,29195.0,0.5113
Blue Mountain Christian University,Blue Mountain,MS,19280.0,19280.0,0.512
Delta State University,Cleveland,MS,8605.0,8605.0,0.4686
Jackson State University,Jackson,MS,9090.0,10110.0,0.3219
Millsaps College,Jackson,MS,43815.0,43815.0,0.5546
University of Mississippi,University,MS,9412.0,26980.0,0.6849
Mississippi University for Women,Columbus,MS,8092.0,8092.0,0.3779
Mississippi Valley State University,Itta Bena,MS,7912.0,7912.0,0.2214
Mississippi College,Clinton,MS,21698.0,21698.0,0.6281
Mississippi State University,Mississippi State,MS,9815.0,26580.0,0.6291
Rust College,Holly Springs,MS,13840.0,13840.0,0.2695
Southeastern Baptist College,Laurel,MS,5925.0,5925.0,1.0
University of Southern Mississippi,Hattiesburg,MS,9618.0,11618.0,0.5058
Tougaloo College,Tougaloo,MS,11398.0,11398.0,0.3231
William Carey University,Hattiesburg,MS,14685.0,14685.0,0.4083
Avila University,Kansas City,MO,38672.0,38672.0,0.4262
Mission University,Springfield,MO,16230.0,16230.0,0.3824
Cox College,Springfield,MO,15599.0,15599.0,1.0
Calvary University,Kansas City,MO,13692.0,13692.0,0.5263
Central Christian College of the Bible,Moberly,MO,11200.0,11200.0,0.4091
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,27140.0,27140.0,0.525
University of Central Missouri,Warrensburg,MO,9739.0,18064.0,0.494
Cleveland University-Kansas City,Overland Park,KS,14400.0,14400.0,0.3333
Columbia College,Columbia,MO,24326.0,24326.0,0.4567
Conception Seminary College,Conception,MO,25208.0,25208.0,0.6429
Cottey College,Nevada,MO,26209.0,26209.0,0.6145
Culver-Stockton College,Canton,MO,29915.0,29915.0,0.5017
Drury University,Springfield,MO,35235.0,35235.0,0.6602
Evangel University,Springfield,MO,27192.0,27192.0,0.648
Fontbonne University,Saint Louis,MO,28976.0,28976.0,0.5683
Ozarks Technical Community College,Springfield,MO,4184.0,6872.0,0.319
Hannibal-LaGrange University,Hannibal,MO,26880.0,26880.0,0.4431
Harris-Stowe State University,Saint Louis,MO,6442.0,11074.0,0.2741
Kansas City Art Institute,Kansas City,MO,43550.0,43550.0,0.6491
Lincoln University,Jefferson City,MO,9290.0,16882.0,0.221
Lindenwood University,Saint Charles,MO,21100.0,21100.0,0.5032
Logan University,Chesterfield,MO,9000.0,9000.0,0.0
Maryville University of Saint Louis,Saint Louis,MO,27166.0,27166.0,0.7152
Midwestern Baptist Theological Seminary,Kansas City,MO,9400.0,9400.0,0.7
Missouri Baptist University,Saint Louis,MO,33122.0,33122.0,0.4819
Missouri Southern State University,Joplin,MO,8400.0,16800.0,0.3833
Missouri Valley College,Marshall,MO,23000.0,23000.0,0.2448
