INSTNM,CITY,STABBR,TUITIONFEE_IN,TUITIONFEE_OUT,GraduationRate
University of California-Davis,Davis,CA,15247.0,46024.0,0.8507
University of California-Irvine,Irvine,CA,14237.0,45014.0,0.8595
University of California-Los Angeles,Los Angeles,CA,13747.0,44524.0,0.9266
University of California-Riverside,Riverside,CA,14170.0,44947.0,0.7656
University of California-San Diego,La Jolla,CA,15265.0,46042.0,0.8763
University of California-Santa Barbara,Santa Barbara,CA,14965.0,45742.0,0.8533
University of California-Santa Cruz,Santa Cruz,CA,14560.0,45337.0,0.7445
California Institute of the Arts,Valencia,CA,56724.0,56724.0,0.6415
California State University Maritime Academy,Vallejo,CA,7672.0,19552.0,0.6682
Chapman University,Orange,CA,62784.0,62784.0,0.8036
Charles R Drew University of Medicine and Science,Los Angeles,CA,18933.0,18933.0,0.5
Concordia University-Irvine,Irvine,CA,41390.0,41390.0,0.625
San Diego Christian College,Santee,CA,26300.0,26300.0,0.2353
Claremont McKenna College,Claremont,CA,64150.0,64150.0,0.9517
University of Silicon Valley,San Jose,CA,22480.0,22480.0,0.3492
California College of ASU,Los Angeles,CA,26175.0,26175.0,0.4842
Cypress College,Cypress,CA,1150.0,9399.0,0.351
Design Institute of San Diego,San Diego,CA,29350.0,29350.0,0.5
Dominican University of California,San Rafael,CA,50666.0,50666.0,0.7627
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,34325.0,34325.0,0.6715
Feather River Community College District,Quincy,CA,1465.0,9925.0,0.4688
Foothill College,Los Altos Hills,CA,1565.0,12320.0,0.6
Fresno Pacific University,Fresno,CA,35558.0,35558.0,0.5594
Harvey Mudd College,Claremont,CA,66255.0,66255.0,0.9375
California State Polytechnic University-Humboldt,Arcata,CA,7913.0,19793.0,0.4663
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,14760.0,14760.0,0.5
Interior Designers Institute,Newport Beach,CA,20250.0,20250.0,0.875
Life Pacific University,San Dimas,CA,20462.0,20462.0,0.5682
